1	d3c1h2	caware	128	constr.	988.184
1	d3c1h2	caware	128	correct	5206.8
1	d3c1h2	caware	128	total.t	6202.42
2	d3c1h2	caware	128	constr.	39.717
2	d3c1h2	caware	128	correct	5166.19
2	d3c1h2	caware	128	total.t	5265.09
3	d3c1h2	caware	128	constr.	45.5355
3	d3c1h2	caware	128	correct	5156.35
3	d3c1h2	caware	128	total.t	5223.12
4	d3c1h2	caware	128	constr.	307.291
4	d3c1h2	caware	128	correct	4829.82
4	d3c1h2	caware	128	total.t	5138.71
5	d3c1h2	caware	128	constr.	38.1133
5	d3c1h2	caware	128	correct	4721.51
5	d3c1h2	caware	128	total.t	4801.5
6	d3c1h2	caware	128	constr.	38.3822
6	d3c1h2	caware	128	correct	4720.32
6	d3c1h2	caware	128	total.t	4804.92
1	d3c1h2	caware	256	constr.	34.3979
1	d3c1h2	caware	256	correct	2892.46
1	d3c1h2	caware	256	total.t	2929.49
2	d3c1h2	caware	256	constr.	3061.36
2	d3c1h2	caware	256	correct	2882.1
2	d3c1h2	caware	256	total.t	6002.55
3	d3c1h2	caware	256	constr.	32.5829
3	d3c1h2	caware	256	correct	2875.08
3	d3c1h2	caware	256	total.t	2939.51
4	d3c1h2	caware	256	constr.	32.6363
4	d3c1h2	caware	256	correct	2636.06
4	d3c1h2	caware	256	total.t	2670.79
5	d3c1h2	caware	256	constr.	33.544
5	d3c1h2	caware	256	correct	2635.63
5	d3c1h2	caware	256	total.t	2705.36
6	d3c1h2	caware	256	constr.	32.7596
6	d3c1h2	caware	256	correct	2635.42
6	d3c1h2	caware	256	total.t	2697.65
1	d3c1h2	caware	512	constr.	37.6395
1	d3c1h2	caware	512	correct	1742.66
1	d3c1h2	caware	512	total.t	1785.57
2	d3c1h2	caware	512	constr.	40.7589
2	d3c1h2	caware	512	correct	1730.25
2	d3c1h2	caware	512	total.t	1774.39
3	d3c1h2	caware	512	constr.	38.7547
3	d3c1h2	caware	512	correct	1731.69
3	d3c1h2	caware	512	total.t	1790.03
4	d3c1h2	caware	512	constr.	38.0635
4	d3c1h2	caware	512	correct	1584.11
4	d3c1h2	caware	512	total.t	1629.62
5	d3c1h2	caware	512	constr.	801.233
5	d3c1h2	caware	512	correct	1593.83
5	d3c1h2	caware	512	total.t	2454.1
6	d3c1h2	caware	512	constr.	37.968
6	d3c1h2	caware	512	correct	1585.39
6	d3c1h2	caware	512	total.t	1636.42
1	d3c1h2	cobliv	128	constr.	86.1227
1	d3c1h2	cobliv	128	correct	6189.01
